SA_UUID, Interval Timestamp, Delivered From Grid Value (Wh), Back To Grid Value (Wh)
6745359, Fri Oct 29 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 362, 0
6745359, Fri Oct 29 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 337, 0
6745359, Fri Oct 29 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 344, 0
6745359, Fri Oct 29 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 443, 0
6745359, Fri Oct 29 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 623, 0
6745359, Fri Oct 29 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 1104, 27
6745359, Fri Oct 29 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 307, 311
6745359, Fri Oct 29 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 6, 860
6745359, Fri Oct 29 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 0, 1046
6745359, Fri Oct 29 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 73, 906
6745359, Fri Oct 29 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 0, 943
6745359, Fri Oct 29 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 1, 739
6745359, Fri Oct 29 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 1, 497
6745359, Fri Oct 29 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 205, 21
6745359, Fri Oct 29 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 466, 0
6745359, Fri Oct 29 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 2127, 0
6745359, Fri Oct 29 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 980, 0
6745359, Fri Oct 29 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 820, 0
6745359, Fri Oct 29 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 952, 0
6745359, Fri Oct 29 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 893, 0
6745359, Fri Oct 29 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 416, 0
6745359, Sat Oct 30 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 1452, 0
6745359, Sat Oct 30 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 1518, 0
6745359, Sat Oct 30 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 331, 0
6745359, Sat Oct 30 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 320, 0
6745359, Sat Oct 30 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 336, 0
6745359, Sat Oct 30 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 331, 0
6745359, Sat Oct 30 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 321, 0
6745359, Sat Oct 30 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 341, 0
6745359, Sat Oct 30 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 217, 0
6745359, Sat Oct 30 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 381, 107
6745359, Sat Oct 30 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 501, 0
6745359, Sat Oct 30 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 322, 0
6745359, Sat Oct 30 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 1316, 0
6745359, Sat Oct 30 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 576, 0
6745359, Sat Oct 30 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 802, 2
6745359, Sat Oct 30 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 116, 16
6745359, Sat Oct 30 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 884, 22
6745359, Sat Oct 30 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 1514, 0
6745359, Sat Oct 30 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 479, 0
6745359, Sat Oct 30 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 413, 0
6745359, Sat Oct 30 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1816, 0
6745359, Sat Oct 30 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1771, 0
6745359, Sat Oct 30 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 1663, 0
6745359, Sat Oct 30 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 1458, 0
6745359, Sun Oct 31 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 2541, 0
6745359, Sun Oct 31 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 2393, 0
6745359, Sun Oct 31 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 1322, 0
6745359, Sun Oct 31 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 1323, 0
6745359, Sun Oct 31 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 1445, 0
6745359, Sun Oct 31 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 1360, 0
6745359, Sun Oct 31 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 1276, 0
6745359, Sun Oct 31 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 1262, 0
6745359, Sun Oct 31 2021 08:00:00 GMT-0700 (Pacific Daylight Time), 1544, 0
6745359, Sun Oct 31 2021 09:00:00 GMT-0700 (Pacific Daylight Time), 900, 0
6745359, Sun Oct 31 2021 10:00:00 GMT-0700 (Pacific Daylight Time), 483, 66
6745359, Sun Oct 31 2021 11:00:00 GMT-0700 (Pacific Daylight Time), 2326, 32
6745359, Sun Oct 31 2021 12:00:00 GMT-0700 (Pacific Daylight Time), 138, 970
6745359, Sun Oct 31 2021 13:00:00 GMT-0700 (Pacific Daylight Time), 1, 785
6745359, Sun Oct 31 2021 14:00:00 GMT-0700 (Pacific Daylight Time), 56, 705
6745359, Sun Oct 31 2021 15:00:00 GMT-0700 (Pacific Daylight Time), 61, 239
6745359, Sun Oct 31 2021 16:00:00 GMT-0700 (Pacific Daylight Time), 1417, 0
6745359, Sun Oct 31 2021 17:00:00 GMT-0700 (Pacific Daylight Time), 1942, 0
6745359, Sun Oct 31 2021 18:00:00 GMT-0700 (Pacific Daylight Time), 3252, 0
6745359, Sun Oct 31 2021 19:00:00 GMT-0700 (Pacific Daylight Time), 2063, 0
6745359, Sun Oct 31 2021 20:00:00 GMT-0700 (Pacific Daylight Time), 1689, 0
6745359, Sun Oct 31 2021 21:00:00 GMT-0700 (Pacific Daylight Time), 1749, 0
6745359, Sun Oct 31 2021 22:00:00 GMT-0700 (Pacific Daylight Time), 1764, 0
6745359, Sun Oct 31 2021 23:00:00 GMT-0700 (Pacific Daylight Time), 1377, 0
6745359, Mon Nov 01 2021 00:00:00 GMT-0700 (Pacific Daylight Time), 2504, 0
6745359, Mon Nov 01 2021 01:00:00 GMT-0700 (Pacific Daylight Time), 2403, 0
6745359, Mon Nov 01 2021 02:00:00 GMT-0700 (Pacific Daylight Time), 1321, 0
6745359, Mon Nov 01 2021 03:00:00 GMT-0700 (Pacific Daylight Time), 1358, 0
6745359, Mon Nov 01 2021 04:00:00 GMT-0700 (Pacific Daylight Time), 1304, 0
6745359, Mon Nov 01 2021 05:00:00 GMT-0700 (Pacific Daylight Time), 1307, 0
6745359, Mon Nov 01 2021 06:00:00 GMT-0700 (Pacific Daylight Time), 1428, 0
6745359, Mon Nov 01 2021 07:00:00 GMT-0700 (Pacific Daylight Time), 1544, 0
